alpha,delta,K,errorUB
0.75,6,1,8.0931902277e-01
0.75,6,2,8.0931898950e-01
0.75,6,3,7.4140607210e-01
0.75,6,4,7.0172310981e-01
0.75,6,5,6.5337357992e-01
0.75,6,6,6.1783747685e-01
