alpha,delta,K,errorUB
0.99,4,1,2.0928743348e-01
0.99,4,2,2.0928743271e-01
0.99,4,3,8.6368867534e-02
0.99,4,4,5.7901369586e-02
0.99,4,5,2.7574426942e-02
0.99,4,6,1.6538254837e-02
0.99,4,7,8.6229729684e-03
0.99,4,8,4.9359537745e-03
0.99,4,9,2.6533959864e-03
0.99,4,10,1.4855151392e-03
0.99,4,11,8.1147243579e-04
0.99,4,12,4.5076250347e-04
0.99,4,13,2.4768427095e-04
0.99,4,14,1.3706955819e-04
0.99,4,15,7.5529463809e-05
0.99,4,16,4.1743849726e-05
0.99,4,17,2.3028091169e-05
0.99,4,18,1.2719540739e-05
0.99,4,19,7.0204039166e-06
0.99,4,20,3.8769128107e-06
0.99,4,21,2.1402914029e-06
0.99,4,22,1.1818394822e-06
0.99,4,23,6.5251347955e-07
0.99,4,24,3.6029900422e-07
0.99,4,25,1.9893633577e-07
