alpha,delta,K,errorUB
0.78,5,1,7.3626767054e-01
0.78,5,2,7.3626766154e-01
0.78,5,3,6.5087504806e-01
0.78,5,4,6.0089730717e-01
0.78,5,5,5.4050193228e-01
0.78,5,6,4.9988480459e-01
