alpha,delta,K,errorUB
0.88,2,1,4.2312475495e-01
0.88,2,2,4.2312475494e-01
0.88,2,3,3.1546686999e-01
0.88,2,4,2.5133036032e-01
0.88,2,5,1.7847473898e-01
0.88,2,6,1.4913654843e-01
