alpha,delta,K,errorUB
0.83,4,1,6.0871710352e-01
0.83,4,2,6.0871710164e-01
0.83,4,3,5.0235854653e-01
0.83,4,4,4.4115466942e-01
0.83,4,5,3.6835353064e-01
0.83,4,6,3.2622608592e-01
