alpha,delta,K,errorUB
0.83,3,1,5.7823550659e-01
0.83,3,2,5.7823550644e-01
0.83,3,3,4.7180346422e-01
0.83,3,4,4.0827705883e-01
0.83,3,5,3.3372463989e-01
0.83,3,6,2.9432913390e-01
