alpha,delta,K,errorUB
0.95,5,1,3.5546230135e-01
0.95,5,2,3.5546228282e-01
0.95,5,3,2.2308025722e-01
0.95,5,4,1.7142069665e-01
0.95,5,5,1.1221546651e-01
0.95,5,6,8.3231218019e-02
0.95,5,7,5.8551097570e-02
0.95,5,8,4.2509449784e-02
0.95,5,9,3.0088667785e-02
0.95,5,10,2.1713275119e-02
0.95,5,11,1.5590168079e-02
0.95,5,12,1.1233694023e-02
0.95,5,13,8.0707821514e-03
0.95,5,14,5.8182113188e-03
0.95,5,15,4.1936063208e-03
0.95,5,16,3.0243630384e-03
0.95,5,17,2.1808397327e-03
0.95,5,18,1.5738377891e-03
0.95,5,19,1.1359994356e-03
0.95,5,20,8.2012208630e-04
0.95,5,21,5.9216422779e-04
0.95,5,22,4.2768000239e-04
0.95,5,23,3.0892434128e-04
0.95,5,24,2.2316906840e-04
0.95,5,25,1.6123657735e-04
