alpha,delta,K,errorUB
0.80,2,1,6.1489977766e-01
0.80,2,2,6.1489977765e-01
0.80,2,3,5.1671491922e-01
0.80,2,4,4.5348760637e-01
0.80,2,5,3.8056834042e-01
0.80,2,6,3.4331079378e-01
0.80,2,7,3.0231985718e-01
0.80,2,8,2.6559622430e-01
0.80,2,9,2.3322587813e-01
0.80,2,10,2.0898030588e-01
0.80,2,11,1.8558071330e-01
0.80,2,12,1.6415376523e-01
0.80,2,13,1.4642263737e-01
0.80,2,14,1.3105752106e-01
0.80,2,15,1.1671339224e-01
0.80,2,16,1.0412094628e-01
0.80,2,17,9.3287179698e-02
0.80,2,18,8.3509134339e-02
0.80,2,19,7.4661932818e-02
0.80,2,20,6.6912007254e-02
0.80,2,21,6.0035942700e-02
0.80,2,22,5.3814568330e-02
0.80,2,23,4.8266542746e-02
0.80,2,24,4.3348941103e-02
0.80,2,25,3.8928500001e-02
