alpha,delta,K,errorUB
0.75,2,1,7.2113870337e-01
0.75,2,2,7.2113870323e-01
0.75,2,3,6.3797794844e-01
0.75,2,4,5.8473183987e-01
0.75,2,5,5.2216063919e-01
0.75,2,6,4.8633710618e-01
