alpha,delta,K,errorUB
0.80,4,1,6.7215855152e-01
0.80,4,2,6.7215855007e-01
0.80,4,3,5.7563542877e-01
0.80,4,4,5.1869208602e-01
0.80,4,5,4.5056401455e-01
0.80,4,6,4.0893622679e-01
0.80,4,7,3.6652061203e-01
0.80,4,8,3.2916337700e-01
0.80,4,9,2.9491639788e-01
0.80,4,10,2.6696343052e-01
0.80,4,11,2.4114416821e-01
0.80,4,12,2.1749945555e-01
0.80,4,13,1.9676828470e-01
0.80,4,14,1.7842474545e-01
0.80,4,15,1.6161482491e-01
0.80,4,16,1.4648359899e-01
0.80,4,17,1.3298732547e-01
0.80,4,18,1.2078000310e-01
0.80,4,19,1.0969254328e-01
0.80,4,20,9.9699134744e-02
0.80,4,21,9.0675587034e-02
0.80,4,22,8.2483433843e-02
0.80,4,23,7.5054319529e-02
0.80,4,24,6.8327836325e-02
0.80,4,25,6.2223322226e-02
