alpha,delta,K,errorUB
0.83,7,1,6.8962701048e-01
0.83,7,2,6.8962672964e-01
0.83,7,3,5.9284466991e-01
0.83,7,4,5.3829580975e-01
0.83,7,5,4.7339910372e-01
0.83,7,6,4.2798316487e-01
