alpha,delta,K,errorUB
0.97,7,1,3.7388480253e-01
0.97,7,2,3.7388453633e-01
0.97,7,3,2.3287375207e-01
0.97,7,4,1.7967245981e-01
0.97,7,5,1.2151265120e-01
0.97,7,6,8.9176818753e-02
