alpha,delta,K,errorUB
0.88,1,1,3.8445890847e-01
0.88,1,2,3.8445890847e-01
0.88,1,3,2.8848942237e-01
0.88,1,4,2.2253959759e-01
0.88,1,5,1.5083743727e-01
0.88,1,6,1.2736616573e-01
