alpha,delta,K,errorUB
0.93,2,1,2.9174417692e-01
0.93,2,2,2.9174417691e-01
0.93,2,3,1.8943470233e-01
0.93,2,4,1.3866044266e-01
0.93,2,5,8.1242628724e-02
0.93,2,6,6.2230104838e-02
