alpha,delta,K,errorUB
0.75,2,1,7.2113870337e-01
0.75,2,2,7.2113870323e-01
0.75,2,3,6.3797794844e-01
0.75,2,4,5.8473183987e-01
0.75,2,5,5.2216063919e-01
0.75,2,6,4.8633710618e-01
0.75,2,7,4.4653566024e-01
0.75,2,8,4.0985193576e-01
0.75,2,9,3.7667192550e-01
0.75,2,10,3.4994998866e-01
0.75,2,11,3.2347293714e-01
0.75,2,12,2.9860176977e-01
0.75,2,13,2.7715379414e-01
0.75,2,14,2.5757852306e-01
0.75,2,15,2.3878122851e-01
0.75,2,16,2.2176494824e-01
0.75,2,17,2.0643727947e-01
0.75,2,18,1.9203344521e-01
0.75,2,19,1.7861428873e-01
0.75,2,20,1.6640189821e-01
0.75,2,21,1.5509286763e-01
0.75,2,22,1.4450316975e-01
0.75,2,23,1.3473035901e-01
0.75,2,24,1.2571103771e-01
0.75,2,25,1.1729027089e-01
