alpha,delta,K,errorUB
0.75,4,1,7.6844507015e-01
0.75,4,2,7.6844506909e-01
0.75,4,3,6.9141838257e-01
0.75,4,4,6.4540013986e-01
0.75,4,5,5.8955729433e-01
0.75,4,6,5.5261215318e-01
0.75,4,7,5.1440953218e-01
0.75,4,8,4.7943560877e-01
0.75,4,9,4.4662156492e-01
0.75,4,10,4.1860477362e-01
0.75,4,11,3.9183988947e-01
0.75,4,12,3.6654858430e-01
0.75,4,13,3.4371341574e-01
0.75,4,14,3.2269711976e-01
0.75,4,15,3.0277272839e-01
0.75,4,16,2.8430726835e-01
0.75,4,17,2.6726596174e-01
0.75,4,18,2.5128186795e-01
0.75,4,19,2.3630273667e-01
0.75,4,20,2.2236319535e-01
0.75,4,21,2.0932880226e-01
0.75,4,22,1.9709511380e-01
0.75,4,23,1.8563999287e-01
0.75,4,24,1.7491410755e-01
0.75,4,25,1.6484674881e-01
