alpha,delta,K,errorUB
0.83,1,1,5.1156890467e-01
0.83,1,2,5.1156890467e-01
0.83,1,3,4.1293971874e-01
0.83,1,4,3.4339077589e-01
0.83,1,5,2.6693571147e-01
0.83,1,6,2.3590925559e-01
