alpha,delta,K,errorUB
0.85,4,1,5.6423513137e-01
0.85,4,2,5.6423512920e-01
0.85,4,3,4.5229036507e-01
0.85,4,4,3.8955366205e-01
0.85,4,5,3.1516861035e-01
0.85,4,6,2.7377829392e-01
0.85,4,7,2.3277470677e-01
0.85,4,8,1.9876195197e-01
0.85,4,9,1.6854411642e-01
0.85,4,10,1.4526555887e-01
0.85,4,11,1.2481287613e-01
0.85,4,12,1.0697902650e-01
0.85,4,13,9.1955760853e-02
0.85,4,14,7.9355698313e-02
0.85,4,15,6.8385617272e-02
0.85,4,16,5.8938352643e-02
0.85,4,17,5.0896869406e-02
0.85,4,18,4.3991588621e-02
0.85,4,19,3.8012465637e-02
0.85,4,20,3.2866817998e-02
0.85,4,21,2.8444029086e-02
0.85,4,22,2.4622568546e-02
0.85,4,23,2.1317935180e-02
0.85,4,24,1.8466512750e-02
0.85,4,25,1.6002960073e-02
