alpha,delta,K,errorUB
0.78,4,1,7.1214816275e-01
0.78,4,2,7.1214816155e-01
0.78,4,3,6.2302143488e-01
0.78,4,4,5.6997847363e-01
0.78,4,5,5.0620647786e-01
0.78,4,6,4.6591400365e-01
