alpha,delta,K,errorUB
0.80,5,1,6.9815813350e-01
0.80,5,2,6.9815812254e-01
0.80,5,3,6.0477248443e-01
0.80,5,4,5.5063660675e-01
0.80,5,5,4.8552236563e-01
0.80,5,6,4.4298198756e-01
0.80,5,7,4.0050909270e-01
0.80,5,8,3.6308433827e-01
0.80,5,9,3.2838468407e-01
0.80,5,10,2.9918982576e-01
0.80,5,11,2.7239787458e-01
0.80,5,12,2.4779653230e-01
0.80,5,13,2.2584511553e-01
0.80,5,14,2.0621382245e-01
0.80,5,15,1.8821977400e-01
0.80,5,16,1.7187983026e-01
0.80,5,17,1.5713289410e-01
0.80,5,18,1.4371623489e-01
0.80,5,19,1.3146915897e-01
0.80,5,20,1.2033027422e-01
0.80,5,21,1.1019007176e-01
0.80,5,22,1.0093172020e-01
0.80,5,23,9.2477874282e-02
0.80,5,24,8.4762146643e-02
0.80,5,25,7.7712575810e-02
