alpha,delta,K,errorUB
0.93,6,1,4.4088982978e-01
0.93,6,2,4.4088972563e-01
0.93,6,3,3.0905964967e-01
0.93,6,4,2.5033219511e-01
0.93,6,5,1.8241539378e-01
0.93,6,6,1.4426643111e-01
