alpha,delta,K,errorUB
0.93,1,1,2.4935712668e-01
0.93,1,2,2.4935712668e-01
0.93,1,3,1.6669708744e-01
0.93,1,4,1.1646431969e-01
0.93,1,5,6.2120823128e-02
0.93,1,6,4.8756239355e-02
