alpha,delta,K,errorUB
0.85,3,1,5.3201326341e-01
0.85,3,2,5.3201326325e-01
0.85,3,3,4.2136834538e-01
0.85,3,4,3.5691122051e-01
0.85,3,5,2.8150384960e-01
0.85,3,6,2.4349259235e-01
0.85,3,7,2.0466929882e-01
0.85,3,8,1.7225238334e-01
0.85,3,9,1.4386885094e-01
0.85,3,10,1.2311121373e-01
0.85,3,11,1.0461241244e-01
0.85,3,12,8.8472439258e-02
0.85,3,13,7.5237355032e-02
0.85,3,14,6.4350341366e-02
0.85,3,15,5.4833645477e-02
0.85,3,16,4.6724953027e-02
0.85,3,17,3.9959859025e-02
0.85,3,18,3.4201501776e-02
0.85,3,19,2.9236017435e-02
0.85,3,20,2.5020873708e-02
0.85,3,21,2.1446273061e-02
0.85,3,22,1.8379045088e-02
0.85,3,23,1.5750560628e-02
0.85,3,24,1.3510998503e-02
0.85,3,25,1.1594965463e-02
