alpha,delta,K,errorUB
0.85,2,1,4.9788841011e-01
0.85,2,2,4.9788841010e-01
0.85,2,3,3.9137876248e-01
0.85,2,4,3.2483639821e-01
0.85,2,5,2.4894972308e-01
0.85,2,6,2.1523151756e-01
0.85,2,7,1.7902680208e-01
0.85,2,8,1.4815126884e-01
0.85,2,9,1.2173760313e-01
0.85,2,10,1.0373778504e-01
0.85,2,11,8.7147817540e-02
0.85,2,12,7.2572315464e-02
0.85,2,13,6.1100966191e-02
0.85,2,14,5.1870920500e-02
0.85,2,15,4.3656545723e-02
0.85,2,16,3.6750512923e-02
0.85,2,17,3.1157571615e-02
0.85,2,18,2.6413890525e-02
0.85,2,19,2.2315043424e-02
0.85,2,20,1.8904699445e-02
0.85,2,21,1.6057902730e-02
0.85,2,22,1.3618080151e-02
0.85,2,23,1.1547214823e-02
0.85,2,24,9.8119171766e-03
0.85,2,25,8.3389286806e-03
