alpha,delta,K,errorUB
0.75,4,1,7.6844507015e-01
0.75,4,2,7.6844506909e-01
0.75,4,3,6.9141838257e-01
0.75,4,4,6.4540013986e-01
0.75,4,5,5.8955729433e-01
0.75,4,6,5.5261215318e-01
