alpha,delta,K,errorUB
0.88,6,1,5.5818035057e-01
0.88,6,2,5.5818025256e-01
0.88,6,3,4.3971681123e-01
0.88,6,4,3.7814637353e-01
0.88,6,5,3.0538318589e-01
0.88,6,6,2.6065172420e-01
