alpha,delta,K,errorUB
0.95,4,1,3.1798123275e-01
0.95,4,2,3.1798123028e-01
0.95,4,3,1.9255960318e-01
0.95,4,4,1.4443812013e-01
0.95,4,5,8.9033878927e-02
0.95,4,6,6.4909393028e-02
0.95,4,7,4.4210399487e-02
0.95,4,8,3.1269744764e-02
0.95,4,9,2.1299924187e-02
0.95,4,10,1.4991213411e-02
0.95,4,11,1.0462260255e-02
0.95,4,12,7.3278380272e-03
0.95,4,13,5.1071016484e-03
0.95,4,14,3.5839773867e-03
0.95,4,15,2.5128915034e-03
0.95,4,16,1.7623582995e-03
0.95,4,17,1.2356757824e-03
0.95,4,18,8.6791099505e-04
0.95,4,19,6.0960365542e-04
0.95,4,20,4.2820820811e-04
0.95,4,21,3.0087300821e-04
0.95,4,22,2.1151213389e-04
0.95,4,23,1.4870448152e-04
0.95,4,24,1.0455995958e-04
0.95,4,25,7.3534811186e-05
