alpha,delta,K,errorUB
0.90,3,1,4.0969983644e-01
0.90,3,2,4.0969983624e-01
0.90,3,3,2.9339859759e-01
0.90,3,4,2.3309193259e-01
0.90,3,5,1.6298302222e-01
0.90,3,6,1.3205605409e-01
0.90,3,7,1.0210201025e-01
0.90,3,8,7.9534684530e-02
0.90,3,9,6.0612979113e-02
0.90,3,10,4.8024908521e-02
0.90,3,11,3.7689264360e-02
0.90,3,12,2.9386636927e-02
0.90,3,13,2.2982928282e-02
0.90,3,14,1.8160134188e-02
0.90,3,15,1.4287690100e-02
0.90,3,16,1.1221290366e-02
0.90,3,17,8.8456021511e-03
0.90,3,18,6.9899934165e-03
0.90,3,19,5.5130256720e-03
0.90,3,20,4.3498175898e-03
0.90,3,21,3.4389649455e-03
0.90,3,22,2.7195185968e-03
0.90,3,23,2.1495119243e-03
0.90,3,24,1.7002964705e-03
0.90,3,25,1.3459490862e-03
