alpha,delta,K,errorUB
0.75,5,1,7.8964783209e-01
0.75,5,2,7.8964782541e-01
0.75,5,3,7.1694467023e-01
0.75,5,4,6.7416751677e-01
0.75,5,5,6.2202077577e-01
0.75,5,6,5.8551794009e-01
0.75,5,7,5.4855414512e-01
0.75,5,8,5.1468826072e-01
0.75,5,9,4.8254873923e-01
0.75,5,10,4.5448774848e-01
0.75,5,11,4.2787745776e-01
0.75,5,12,4.0265595959e-01
0.75,5,13,3.7954070207e-01
0.75,5,14,3.5813897785e-01
0.75,5,15,3.3786130630e-01
0.75,5,16,3.1891783762e-01
0.75,5,17,3.0128576409e-01
0.75,5,18,2.8469717781e-01
0.75,5,19,2.6908822151e-01
0.75,5,20,2.5445900747e-01
0.75,5,21,2.4070681226e-01
0.75,5,22,2.2775004520e-01
0.75,5,23,2.1555338931e-01
0.75,5,24,2.0406793212e-01
0.75,5,25,1.9323900851e-01
