alpha,delta,K,errorUB
0.95,2,1,2.3700575658e-01
0.95,2,2,2.3700575657e-01
0.95,2,3,1.3957110890e-01
0.95,2,4,9.7969261402e-02
0.95,2,5,5.1067023804e-02
0.95,2,6,3.6931963705e-02
0.95,2,7,2.4029379352e-02
0.95,2,8,1.6012374811e-02
0.95,2,9,9.8390319986e-03
0.95,2,10,6.7292263644e-03
0.95,2,11,4.4765431551e-03
0.95,2,12,2.9358764844e-03
0.95,2,13,1.9112519311e-03
0.95,2,14,1.2872195260e-03
0.95,2,15,8.5643503099e-04
0.95,2,16,5.6494411916e-04
0.95,2,17,3.7458812777e-04
0.95,2,18,2.5094359017e-04
0.95,2,19,1.6693985229e-04
0.95,2,20,1.1082812311e-04
0.95,2,21,7.3919817375e-05
0.95,2,22,4.9395185383e-05
0.95,2,23,3.2905062549e-05
0.95,2,24,2.1931812287e-05
0.95,2,25,1.4648539698e-05
