alpha,delta,K,errorUB
0.99,5,1,2.4877760356e-01
0.99,5,2,2.4877759779e-01
0.99,5,3,1.1444765704e-01
0.99,5,4,7.9239879010e-02
0.99,5,5,4.2091027292e-02
0.99,5,6,2.6409555345e-02
0.99,5,7,1.5026443499e-02
0.99,5,8,9.0905492840e-03
0.99,5,9,5.2940917363e-03
0.99,5,10,3.1553937059e-03
0.99,5,11,1.8552576550e-03
0.99,5,12,1.1004080052e-03
0.99,5,13,6.4924643317e-04
0.99,5,14,3.8431830095e-04
0.99,5,15,2.2706085945e-04
0.99,5,16,1.3431842448e-04
0.99,5,17,7.9399004560e-05
0.99,5,18,4.6956725683e-05
0.99,5,19,2.7762990117e-05
0.99,5,20,1.6417716345e-05
0.99,5,21,9.7077144404e-06
0.99,5,22,5.7405154027e-06
0.99,5,23,3.3944509755e-06
0.99,5,24,2.0072420592e-06
0.99,5,25,1.1869283686e-06
