alpha,delta,K,errorUB
0.88,4,1,4.9440582735e-01
0.88,4,2,4.9440582480e-01
0.88,4,3,3.7573871316e-01
0.88,4,4,3.1309702529e-01
0.88,4,5,2.3917007492e-01
0.88,4,6,2.0056679443e-01
