alpha,delta,K,errorUB
0.83,5,1,6.3741570875e-01
0.83,5,2,6.3741569456e-01
0.83,5,3,5.3298181269e-01
0.83,5,4,4.7396624297e-01
0.83,5,5,4.0340015433e-01
0.83,5,6,3.5940682216e-01
