alpha,delta,K,errorUB
0.99,3,1,1.6775000821e-01
0.99,3,2,1.6775000815e-01
0.99,3,3,6.1635795064e-02
0.99,3,4,3.9911139521e-02
0.99,3,5,1.6518331650e-02
0.99,3,6,9.4963653092e-03
0.99,3,7,4.4665294159e-03
0.99,3,8,2.4220219108e-03
0.99,3,9,1.1796292350e-03
0.99,3,10,6.1892318146e-04
0.99,3,11,3.1044869142e-04
0.99,3,12,1.6087093549e-04
0.99,3,13,8.1411052917e-05
0.99,3,14,4.1882904670e-05
0.99,3,15,2.1334253885e-05
0.99,3,16,1.0947429201e-05
0.99,3,17,5.5886355709e-06
0.99,3,18,2.8634760391e-06
0.99,3,19,1.4639726232e-06
0.99,3,20,7.4971129328e-07
0.99,3,21,3.8350782478e-07
0.99,3,22,1.9634155593e-07
0.99,3,23,1.0047191555e-07
0.99,3,24,5.1433026854e-08
0.99,3,25,2.6323161991e-08
