alpha,delta,K,errorUB
0.90,5,1,4.8014510074e-01
0.90,5,2,4.8014508016e-01
0.90,5,3,3.5575150104e-01
0.90,5,4,2.9455239427e-01
0.90,5,5,2.2244150037e-01
0.90,5,6,1.8283465848e-01
0.90,5,7,1.4609368243e-01
0.90,5,8,1.1820307736e-01
0.90,5,9,9.4417858749e-02
0.90,5,10,7.6579931495e-02
0.90,5,11,6.2001386102e-02
0.90,5,12,5.0178915498e-02
0.90,5,13,4.0611206549e-02
0.90,5,14,3.2983736404e-02
0.90,5,15,2.6787303624e-02
0.90,5,16,2.1755234256e-02
0.90,5,17,1.7682272982e-02
0.90,5,18,1.4386657281e-02
0.90,5,19,1.1707306011e-02
0.90,5,20,9.5292774945e-03
0.90,5,21,7.7604023580e-03
0.90,5,22,6.3224073945e-03
0.90,5,23,5.1518154209e-03
0.90,5,24,4.1989842535e-03
0.90,5,25,3.4233595231e-03
