alpha,delta,K,errorUB
0.88,3,1,4.5974071259e-01
0.88,3,2,4.5974071240e-01
0.88,3,3,3.4481927938e-01
0.88,3,4,2.8162800855e-01
0.88,3,5,2.0798254561e-01
0.88,3,6,1.7361504230e-01
