alpha,delta,K,errorUB
0.75,3,1,7.4563812359e-01
0.75,3,2,7.4563812335e-01
0.75,3,3,6.6501602503e-01
0.75,3,4,6.1554391992e-01
0.75,3,5,5.5619322470e-01
0.75,3,6,5.1943720123e-01
0.75,3,7,4.8028766363e-01
0.75,3,8,4.4438606748e-01
0.75,3,9,4.1121643562e-01
0.75,3,10,3.8363832743e-01
0.75,3,11,3.5693134070e-01
0.75,3,12,3.3176860280e-01
0.75,3,13,3.0948821653e-01
0.75,3,14,2.8908732797e-01
0.75,3,15,2.6967285186e-01
0.75,3,16,2.5185857401e-01
0.75,3,17,2.3559006249e-01
0.75,3,18,2.2034737207e-01
0.75,3,19,2.0611162611e-01
0.75,3,20,1.9298448439e-01
0.75,3,21,1.8077418333e-01
0.75,3,22,1.6934264813e-01
0.75,3,23,1.5870443646e-01
0.75,3,24,1.4880875135e-01
0.75,3,25,1.3955507714e-01
