alpha,delta,K,errorUB
0.99,2,1,1.2407865667e-01
0.99,2,2,1.2407865667e-01
0.99,2,3,4.1398088314e-02
0.99,2,4,2.5762265838e-02
0.99,2,5,8.7973187266e-03
0.99,2,6,4.9133013520e-03
0.99,2,7,2.0767152978e-03
0.99,2,8,1.0780119313e-03
0.99,2,9,4.6132899303e-04
0.99,2,10,2.2879816416e-04
0.99,2,11,1.0475216866e-04
0.99,2,12,5.0836305814e-05
0.99,2,13,2.3365002487e-05
0.99,2,14,1.1201238574e-05
0.99,2,15,5.2517037830e-06
0.99,2,16,2.5017993307e-06
0.99,2,17,1.1742052817e-06
0.99,2,18,5.5780609727e-07
0.99,2,19,2.6331363243e-07
0.99,2,20,1.2484366437e-07
0.99,2,21,5.8957589586e-08
0.99,2,22,2.7938052824e-08
0.99,2,23,1.3215245017e-08
0.99,2,24,6.2587529099e-09
0.99,2,25,2.9610709731e-09
