alpha,delta,K,errorUB
0.93,4,1,3.7023145412e-01
0.93,4,2,3.7023145138e-01
0.93,4,3,2.4536094839e-01
0.93,4,4,1.9074435895e-01
0.93,4,5,1.2711886139e-01
0.93,4,6,9.7730239991e-02
