alpha,delta,K,errorUB
0.85,5,1,5.9463889537e-01
0.85,5,2,5.9463887900e-01
0.85,5,3,4.8359232881e-01
0.85,5,4,4.2246448670e-01
0.85,5,5,3.4963471028e-01
0.85,5,6,3.0572704249e-01
0.85,5,7,2.6304100692e-01
0.85,5,8,2.2754563046e-01
0.85,5,9,1.9569393369e-01
0.85,5,10,1.7016067476e-01
0.85,5,11,1.4780216342e-01
0.85,5,12,1.2823702292e-01
0.85,5,13,1.1143311137e-01
0.85,5,14,9.7097382401e-02
0.85,5,15,8.4577457976e-02
0.85,5,16,7.3687662017e-02
0.85,5,17,6.4275981957e-02
0.85,5,18,5.6109483353e-02
0.85,5,19,4.8986497490e-02
0.85,5,20,4.2786631660e-02
0.85,5,21,3.7394036177e-02
0.85,5,22,3.2692180867e-02
0.85,5,23,2.8588179042e-02
0.85,5,24,2.5008127221e-02
0.85,5,25,2.1883563951e-02
