alpha,delta,K,errorUB
0.80,3,1,6.4443464073e-01
0.80,3,2,6.4443464061e-01
0.80,3,3,5.4615480414e-01
0.80,3,4,4.8623707417e-01
0.80,3,5,4.1548078730e-01
0.80,3,6,3.7558187678e-01
0.80,3,7,3.3366779428e-01
0.80,3,8,2.9657727212e-01
0.80,3,9,2.6311187958e-01
0.80,3,10,2.3680999153e-01
0.80,3,11,2.1214743448e-01
0.80,3,12,1.8958624911e-01
0.80,3,13,1.7026942045e-01
0.80,3,14,1.5336098338e-01
0.80,3,15,1.3779102899e-01
0.80,3,16,1.2392361478e-01
0.80,3,17,1.1173991158e-01
0.80,3,18,1.0076010549e-01
0.80,3,19,9.0820548585e-02
0.80,3,20,8.1964519351e-02
0.80,3,21,7.4037319929e-02
0.80,3,22,6.6867880402e-02
0.80,3,23,6.0414275615e-02
0.80,3,24,5.4625478434e-02
0.80,3,25,4.9403348560e-02
