alpha,delta,K,errorUB
0.93,5,1,4.0651686579e-01
0.93,5,2,4.0651684519e-01
0.93,5,3,2.7662848893e-01
0.93,5,4,2.1982170229e-01
0.93,5,5,1.5372430974e-01
0.93,5,6,1.1970327202e-01
