alpha,delta,K,errorUB
0.75,1,1,6.9484966655e-01
0.75,1,2,6.9484966645e-01
0.75,1,3,6.1061632396e-01
0.75,1,4,5.5311000509e-01
0.75,1,5,4.8771453376e-01
0.75,1,6,4.5368414724e-01
