alpha,delta,K,errorUB
0.90,2,1,3.7154679645e-01
0.90,2,2,3.7154679644e-01
0.90,2,3,2.6489519912e-01
0.90,2,4,2.0458256581e-01
0.90,2,5,1.3619823565e-01
0.90,2,6,1.1059521650e-01
0.90,2,7,8.4497866301e-02
0.90,2,8,6.4254325945e-02
0.90,2,9,4.7586360712e-02
0.90,2,10,3.7563442874e-02
0.90,2,11,2.9053532240e-02
0.90,2,12,2.2124384468e-02
0.90,2,13,1.7012834756e-02
0.90,2,14,1.3320779856e-02
0.90,2,15,1.0302711986e-02
0.90,2,16,7.9369326035e-03
0.90,2,17,6.1728924552e-03
0.90,2,18,4.8162303841e-03
0.90,2,19,3.7336244471e-03
0.90,2,20,2.8990427317e-03
0.90,2,21,2.2618629301e-03
0.90,2,22,1.7625057376e-03
0.90,2,23,1.3708706944e-03
0.90,2,24,1.0687738599e-03
0.90,2,25,8.3423804694e-04
