alpha,delta,K,errorUB
0.88,5,1,5.2720414578e-01
0.88,5,2,5.2720412651e-01
0.88,5,3,4.0756015727e-01
0.88,5,4,3.4539006403e-01
0.88,5,5,2.7175355080e-01
0.88,5,6,2.2969728874e-01
