alpha,delta,K,errorUB
0.88,7,1,5.8728272425e-01
0.88,7,2,5.8728234677e-01
0.88,7,3,4.7167050752e-01
0.88,7,4,4.1095829041e-01
0.88,7,5,3.3963433686e-01
0.88,7,6,2.9299654838e-01
