alpha,delta,K,errorUB
0.78,2,1,6.5878155229e-01
0.78,2,2,6.5878155228e-01
0.78,2,3,5.6589810139e-01
0.78,2,4,5.0602263759e-01
0.78,2,5,4.3651843055e-01
0.78,2,6,3.9924359723e-01
