alpha,delta,K,errorUB
0.78,3,1,6.8634856607e-01
0.78,3,2,6.8634856597e-01
0.78,3,3,5.9458784558e-01
0.78,3,4,5.3829273410e-01
0.78,3,5,4.7145365605e-01
0.78,3,6,4.3224007715e-01
