alpha,delta,K,errorUB
0.95,3,1,2.7852373235e-01
0.95,3,2,2.7852373217e-01
0.95,3,3,1.6440295669e-01
0.95,3,4,1.1980510911e-01
0.95,3,5,6.8620847895e-02
0.95,3,6,4.9490557764e-02
0.95,3,7,3.2757769005e-02
0.95,3,8,2.2543412305e-02
0.95,3,9,1.4675948623e-02
0.95,3,10,1.0120437969e-02
0.95,3,11,6.8771873084e-03
0.95,3,12,4.6744752040e-03
0.95,3,13,3.1539331773e-03
0.95,3,14,2.1597473542e-03
0.95,3,15,1.4740310697e-03
0.95,3,16,1.0044015135e-03
0.95,3,17,6.8460310098e-04
0.95,3,18,4.6857623365e-04
0.95,3,19,3.2033114367e-04
0.95,3,20,2.1888125763e-04
0.95,3,21,1.4970723516e-04
0.95,3,22,1.0250445948e-04
0.95,3,23,7.0155797976e-05
0.95,3,24,4.8020781607e-05
0.95,3,25,3.2887206204e-05
