alpha,delta,K,errorUB
0.93,7,1,4.7325086803e-01
0.93,7,2,4.7325046950e-01
0.93,7,3,3.4194036099e-01
0.93,7,4,2.8175923667e-01
0.93,7,5,2.1275782553e-01
0.93,7,6,1.7108797367e-01
